waktu_diambil,tahun,bulan,nama_provinsi,nama_kota,sandi,nama,asset,asd,kyd,Kredit yang Diberikan Tahun Sebelumnya,total_hutang,Total Hutang Tahun Sebelumnya,Laba (Rugi) Tahun-tahun Lalu Saat Ini,Laba (Rugi) Tahun-tahun Lalu Tahun Sebelumnya,laba_saat_ini,laba_tahun_lalu,npl_net,kpmm,kap,ppap,roa,cr,ldr,bopo,direksi,dewan_komisaris
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,602600-PT Bank Perekonomian Rakyat Agra Dhana,602600-PT Bank Perekonomian Rakyat Agra Dhana,80308528,83721384,61577885,65869978,71032076,74712864,836679,990061,39773,"-381,541",10.89,27.1,19.01,100,-0.57,11.66,78.71,107.6,BENY,"JERRY DIAMOND, LIM KIEN KOK"
5/21/2025 21:11,2021,Maret,Provinsi Kep. Riau,Kota Batam,602590-PT Bank Perekonomian Rakyat Putra Batam,602590-PT Bank Perekonomian Rakyat Putra Batam,65992521,60597484,38835724,45440356,52883472,46313533,7936068,7207583,"-1,524,019",379368,13.59,33.93,16.09,100,-9.71,9.27,71.36,182.28,"SUVIANTO WANGDRA, HARTONO TJUATJA","TONNY WANGDRA, SAHAT SIANTURI"
5/21/2025 21:12,2021,Maret,Provinsi Kep. Riau,Kota Batam,602614-PT Bank Perekonomian Rakyat Indobaru Finansia,602614-PT Bank Perekonomian Rakyat Indobaru Finansia,88106973,104148773,64785524,90510585,55181830,73595201,28833877,26975546,491266,"-21,974",11.51,97.01,11.28,100,3.41,16.5,76.59,75.84,"SARTONO, HANDI SUHARLI","YOHANES RIANANTO, ARIF SETIYANTO, WILIARTO KUOSASTRA, SARDI"
5/21/2025 21:12,2021,Maret,Provinsi Kep. Riau,Kota Batam,602619-PT Bank Perekonomian Rakyat Global Mentari,602619-PT Bank Perekonomian Rakyat Global Mentari,65251632,68187367,48267141,56385266,58943772,61864620,"-7,328,628","-7,293,836",186488,166583,17.73,26.15,12.84,100,0.06,23.67,76.3,99.01,Lourentia Neny Ernawati,"Sukriadi, Sri Okti Firdiana, Raditya Priamanaya Djan, Sukriadi"
5/21/2025 21:12,2021,Maret,Provinsi Kep. Riau,Kota Batam,602625-PT Bank Perekonomian Rakyat Dana Mitra Sukses,602625-PT Bank Perekonomian Rakyat Dana Mitra Sukses,30944162,30577945,23587845,23516071,27105950,27045434,"-3,377,473","-3,690,505",191092,198423,5.16,37.96,3.74,100,0.64,10.35,79.23,84.49,"MULYADI ASKA, SHANTI ANDRIANI","HOTDI SIAGIAN, JONAHA CHRISTIAN PURBA"
5/21/2025 21:12,2021,Maret,Provinsi Kep. Riau,Kota Batam,602618-PT Bank Perekonomian Rakyat Harapan Bunda Batam,602618-PT Bank Perekonomian Rakyat Harapan Bunda Batam,36633130,46366006,27329588,25480652,32079887,42064888,"-586,554","-372,762",339797,"-126,120",15.47,29.27,12.31,100,0.65,6.69,85.92,97.42,"VIVI SUSANTI, KHAINUR RASYID","HENRY MINIT, SUWARTO JAMADI"
5/21/2025 21:12,2021,Maret,Provinsi Kep. Riau,Kota Batam,602620-PT Bank Perekonomian Rakyat Dana Fanindo,602620-PT Bank Perekonomian Rakyat Dana Fanindo,64696980,55255319,39247278,26676806,46016194,35417315,630532,1036354,"-809,666","-58,270",13.03,93.79,8.58,100,0.89,7.39,62.99,102.47,"RENNA AUSTINE, SISKA MARTONO","SHANTI DWI LESTARI, USMAN FAN, SANTOS LOY, SALAM JONG TEK, KHENG HOA AL MARGOS, PHANG WOEI KHIONG"
5/21/2025 21:12,2021,Maret,Provinsi Kep. Riau,Kota Batam,602644-PT Bank Perekonomian Rakyat Central Kepri,602644-PT Bank Perekonomian Rakyat Central Kepri,72084064,76193559,47139584,56929505,61433542,66037007,3191895,3368018,258627,288534,4.38,38.92,2.65,100,0.35,13.32,67.52,92.37,"AGUS DIANTO, VENY JENY RIA TOGATOROP",HARUN PANDAPOTAN
5/21/2025 21:13,2021,Maret,Provinsi Kep. Riau,Kota Batam,602647-PT BPR Majesty Golden Raya,602647-PT BPR Majesty Golden Raya,136818310,112413799,104777564,89718401,117732880,93139993,13444223,13720225,841207,753581,7.97,35.35,5.52,100,3.03,18.67,79.52,78.95,DJAFAR DJOHAN,"SADELI, HADI, HADI"
5/21/2025 21:13,2021,Maret,Provinsi Kep. Riau,Kota Batam,602688-PT Bank Perekonomian Rakyat Satya Mitra Andalan,602688-PT Bank Perekonomian Rakyat Satya Mitra Andalan,74015510,73069887,56140704,57204897,60308852,60446504,"-1,703,644","-2,676,469",410302,299852,3.9,48.19,3.12,100,0.56,8.17,81.86,87,ERWIN,"TRI SISKA YULIANA, HARRYANTO, Amin, Sapri, Harryanto"
